14416908,12101120,12458752,9111040,11407104,8261120,10421248,14353408
2762497,16131072,15534848,1311744,4456960,15467264,4458240,3408384
16181248,13158656,7971584,8517632,2378496,3356672,10956544,13190656
6082560,1734144,7292672,15870208,4532480,13045248,4460544,3478016
11644427,14704384,11932672,2769152,7346944,16325120,15021056,6172672
13758721,13922306,4993280,4019712,11407104,10032896,667136,3089920
12613127,7426561,12854528,12783360,1520640,5249280,1851648,5383168
5837582,3047937,10784512,1822464,2311424,15684352,12800768,1148160
5675010,10764032,8146176,14756352,13191936,15019008,6643712,10829824
6053640,8815617,8782080,10665984,11363072,1664768,1082624,16069888
7445518,15181825,7824128,13516032,14619648,15020800,9792512,11293696
2581030,15610626,663040,4933632,9978880,15812864,5204992,2369792
179212,1734144,9709824,6431232,661248,4670976,11520,2364928
13684996,9587460,3404544,9078272,3363840,1404416,8615424,14381056
9195787,2402560,6754048,16391168,4462080,10229504,10162176,15011584
7467787,6016256,1129984,10109697,7752192,933888,11356416,6570496
5650693,12144388,13821440,7410689,15803648,13451008,2181888,1065216
1905927,5346304,6425856,12665600,12128512,13373184,4985856,1251584
4331020,11922434,16677120,11846145,7946752,16329216,3174656,7414016
3706369,9123584,15471360,5003520,7801344,13833216,1314304,3803136
2499586,3979520,4201472,2260224,7475968,6230272,1705472,12456448
10929178,7810304,10328320,2389760,9246720,10904320,4933120,5058304
5686530,7201792,13353984,5852416,2898688,9399808,5320960,11483136
9284125,15046148,12099840,15060736,11491584,10114560,5718784,7897088
3994371,623104,5707264,11475712,7998208,12978176,11667200,9438208
3182089,1238272,13177344,163072,8042240,11750912,7751936,2263552
7195907,3088386,10840576,3551744,12333824,7824896,4404736,6030337
14815746,7434752,11620096,3877632,15149312,2364672,2104832,10489088
5164072,7781633,14147584,5619456,4669184,11428608,6823936,13060352
6508035,2466816,5274880,4412162,1448704,7363840,9067776,2696704
6861090,2544131,293632,8186624,11122176,16367360,15963904,5972736
2382849,8403200,137984,4011264,16257024,16454144,7148032,11995648
8335623,14646019,11429376,4944384,3840768,12472064,15091456,5907712
7837953,10620672,2952960,16124928,11866112,8849664,2821376,2820608
2973441,14237696,11812864,11803392,5313024,3674112,12913664,10225408
8019723,15835649,2856704,11638530,14035968,12080640,10890752,6887168
4967169,1655552,6753792,593664,14877696,12852224,3020800,16190976
12433665,736768,5511424,5711360,4391936,14684416,7348992,919808
9358849,11822848,5638144,14291712,2364160,7146240,13249536,9702912
11176707,5168640,3091712,3931904,1519360,14380032,9453568,8013824
9350912,1416705,8009216,10062592,15798272,14254592,5140736,11088896
2302979,16290816,16522752,2963968,14628352,13511424,7940608,10889984
680707,8608513,5393152,2433792,6696960,8926464,12202240,5644544
5614083,14054145,665088,11537664,9066496,8923136,859904,14294784
15096321,11474688,13832960,5976320,14422784,2625280,5253632,16058880
2912513,16213249,6137344,13995008,7283456,8079616,1979392,1257216
8113408,13903616,11993344,14551808,2101504,9441792,3738624,2362112
13842970,361985,6166016,14956288,12563200,10639616,13066240,7295488
478464,9342720,4011520,992512,15735296,16334848,10637312,1853696
9618432,4069632,15989248,5655040,1401856,1720320,9460736,14227200
327689,12459010,1789697,14393856,4462592,8929536,8332288,15219200
9469698,9197056,3084032,1973248,2559232,9114112,13179648,15275008
13869583,8726785,8868096,1743360,2177024,4205824,7356672,16464896
13543204,925953,6658048,13915137,1321472,15805696,11561984,16326144
5606400,7125248,962048,10630402,4071424,1455360,13740288,4599552
5256454,10510340,8285696,4759809,7224832,8069888,8220416,6637312
3371777,7710208,12864000,11164160,3613440,11282432,6953984,791296
16126217,10931200,5053952,13312512,14097408,16058880,7144448,14156288
11011079,16575744,13767937,3441665,14311168,1529088,12465152,2114560
14345986,6465280,9917696,6647040,16653056,11086592,16539392,12283136
15350016,11562496,9649152,7591169,8002816,13053696,9980160,8333568
15921435,10747650,8503296,8607489,13769984,9925888,3876864,2958848
13646611,15179010,13817344,8950784,2246144,5921280,9645568,7162112
16694529,14300928,7418624,6978048,7161856,4931328,12606208,7942144
7333379,4304897,9712384,7687169,6498304,16469504,6703104,6892800
1777671,9452034,12792832,10712835,4535296,3687936,3488768,6368000
7129095,4240128,10384384,338945,544000,13377792,12207872,7744256
8534534,14354689,5220352,1660161,6757888,14438656,8225024,8268032
6531591,15037697,5530881,19969,12536320,144640,1854464,2113792
9302017,13318913,11744256,9259520,200704,857856,3806464,10753280
11731209,1159168,5906688,9216,5054464,10030080,12719104,6818304
2612736,11545088,3145984,66304,14288640,4981504,8389120,6947328
16572678,650500,3631104,13381376,9784064,7229696,5463552,1597696
