4582169,2255873,3411712,5517568,1984256,1055488,4992768,12925440
5774083,6107904,16255232,10488576,9179648,9636096,11544320,5051904
1326338,4172032,1052928,1478400,5178880,7801088,396800,2098688
7594496,10949632,13765120,4985344,5177856,8523008,1771776,10359296
3354880,9200128,4271360,3695104,5115392,5186304,12207104,14818816
2192642,3155968,6951680,13702144,16001280,10817536,2820096,2755072
14912265,9669376,14159616,14755328,1646336,4657408,1444352,4983808
6245889,1829376,14186496,1584384,13247488,16460800,15812864,16590336
7038212,14625537,1842432,9126656,6500352,10163200,3151360,3089664
10580997,16361728,11356160,11409152,76288,16067840,1060608,4798208
10056705,5333760,2102016,4981760,10029056,7144960,9178880,15993344
8717318,9008128,3548928,2008065,3818752,14036480,5580544,2303232
10709762,4734209,11279104,4812032,925952,8401920,1320704,3155712
5096196,7526144,10069504,3577346,16537600,13972224,2379264,12523264
12378373,16516097,5538816,11989760,2263040,3034624,9375232,7487744
11783705,7103238,13834241,605697,7086592,5986816,2999296,3422976
8886535,13452293,11389184,4833025,7496960,5786368,16344576,473088
13859840,1410048,12604417,13465603,2364928,8005632,73216,14881536
450817,14036992,5779200,5235968,4983040,14879744,8258304,6030848
12629761,11104256,12071680,14838272,2819584,13764864,12911872,2295552
5790722,10015489,8633856,8561408,3289088,7753728,7412224,11549696
12883457,11023360,13900544,5638912,6097152,2557440,5769472,7149056
7379201,10113538,4467968,11546881,1382400,4467456,4734464,13060608
1091840,2259712,15561216,12337666,15341824,12454656,2168576,8591360
14836225,7264000,13476864,8738562,9444608,13053696,10031872,13371648
599808,15937024,13654784,1380610,8724992,3088128,6299904,3214848
5632768,11928577,16656640,11798017,1904896,10498048,2564096,4593664
495877,932608,10886144,11879168,7342336,4983040,2362112,6360576
12328706,9349632,15622912,10127873,6383872,471296,5709312,8066304
10812416,11084288,2696960,7219712,2492928,5969408,10749952,8194048
16260609,3752448,1518080,13720320,2819840,8783616,8390656,2491648
7913729,16419840,15403264,4475648,11145216,4590592,11012352,460288
2786072,3073,4557824,16175360,9314560,11543552,3942912,75264
14561793,547584,12534016,10176000,11799552,2623232,15796992,14746112
13552385,1187584,1718528,11546624,6818304,14683648,14027520,9504256
15526146,14391808,2648064,2051584,12791040,12468480,10951424,11675904
10371073,3036673,413696,11044864,2107392,3548416,1318656,15610368
15531776,10096128,6883840,1280,3083008,9898752,8456448,15140352
6558208,3936000,16518144,15875072,12659968,10573312,15152128,2696960
7826432,10583552,12529664,2373376,13773056,13713408,13713152,15538688
10620673,10765312,15604736,5974272,9833472,1443840,3541760,7079680
10296320,15880448,990208,6509568,15415808,10233088,1974784,5061632
9687553,16047873,3347712,3875584,12650496,396288,797952,16519168
8437003,3759109,12382976,5543936,538880,4226048,10560769,14501888
7830026,14404352,10054400,6894592,1445632,2888704,1578752,11937024
9887491,7489792,14944000,6948352,12714496,3671040,985088,2229760
14998793,1767173,5002496,8492544,1135616,801792,3945984,7959040
9314818,8485632,5783040,14364416,1052160,8786688,992256,13377536
11980296,15800321,13179136,4199936,12716544,2428416,5379328,595200
2113802,16121346,14903552,1044224,7675904,11608832,2662144,1666816
15191301,1192960,4092672,12926464,10820352,1379584,728064,3543296
2613256,13365505,13045248,2063360,11348480,15475712,10385408,12734720
896010,4976384,663296,13639680,11215360,12657408,11869440,13898752
5079563,16458241,8082176,15149568,8209920,1119232,9638912,8850688
14471181,9572609,4153856,4730880,13329152,3758336,15811840,9776640
3969796,1802752,9244928,13643776,12784640,15670016,11341056,13177856
16077335,15427330,15322368,13642496,7755008,7346432,9052928,8197888
10698247,570880,4267776,9459968,12348672,6045184,7868672,7936768
14054414,2364930,1952768,1896960,11045376,11678208,13575424,2498304
4925952,1254400,6759424,7414784,4543232,16257792,11996416,12192256
9648384,7675136,6509056,11695872,5910528,3608064,396800,13372416
923904,2834688,5836800,991488,11543296,1516288,11474432,6820608
8121858,7698944,1641216,7210752,2688768,12649728,5768192,6226176
6365440,3742976,9833984,14751232,9508096,990464,12061696,132864
14963201,4342530,7560960,6228480,14819072,14094080,13175296,14550272
3939840,2313728,13243648,10749440,5770240,10365696,16715008,16188928
15107329,4608513,4820736,544512,2321920,9126656,4853504,5049856
