8925440,7884032,5132544,3675392,16457984,272384,3937280,3878145
11678465,10653696,6163712,8002560,9135872,2918656,8344064,3672065
1548550,15043841,15539968,3648256,15595776,5255680,8985088,13296640
7939608,11606018,15693824,5467136,1127424,1912064,9909760,15703808
13293569,4459521,3226112,8330240,11867392,13965056,3673344,411648
14249735,114945,14690816,7543040,14029568,9243136,1118208,16592640
9251617,2681344,8199680,3098624,11212800,8399872,12008960,2455552
1255971,9590273,16140288,11354624,7023360,9774848,14433024,15373825
16295682,928000,14823680,13334528,5118976,5054208,14486784,10503680
7454236,4496902,9710082,16230400,5534208,2979840,2788864,13100545
7062032,13650182,4021504,15092737,14575617,16104704,1663232,10388224
2479113,4684800,8495873,2738176,3490304,5473280,15945472,12411905
10357517,1084423,6510080,5935617,12286720,3027456,11805440,14093058
15156755,4707332,5120257,1957632,5201664,16720128,15929600,8137986
6664451,12394242,734464,1213441,796928,6842112,12726528,3461377
16536836,16541184,15352320,11383552,1446912,5661696,7543808,11437057
4464386,12847360,6492928,8734720,16125952,14489600,2623488,9003776
5510406,16701954,8510464,10419202,15018752,11936256,13964800,7217665
1954820,987138,12863488,571136,12215552,544768,9122048,12841216
15519744,13515776,16337664,4347908,6757120,8205056,8328192,463617
13965569,7559168,9516032,519168,10553088,2179584,9383680,11382017
5788416,7625728,10160384,14144769,10564864,8942592,1321728,12644864
7175685,11470337,9756928,3396865,14241024,4791808,14688000,2110465
15674112,3617536,14950400,2664705,6292992,13060864,13701120,10192385
15634176,5054208,3291392,14771713,15342592,273152,411392,15298305
12826626,6858754,8001536,10303744,14160640,10686976,7672064,494080
8705792,16146177,8532480,8925185,12322816,15800064,15074560,1078272
3371776,6106368,14233856,15779584,928768,13714432,401920,14646529
4994050,9715968,15010816,16040704,9384960,15801856,15670528,1454849
8816131,4883970,1169152,6940416,3837440,93952,15540736,14898946
14457602,3684609,4526336,2802177,14842624,10636032,13373440,10212865
1452546,12732929,14917376,14317568,13139968,14823424,11278080,5938689
3961600,15090688,16260864,7026432,6426368,6435840,403968,6327297
15238656,13995521,11445760,6962433,210432,1462784,9449984,9427200
1072896,11157504,11296512,15687169,9056512,15086080,9058048,3623425
8528131,8488705,145408,15453952,1598208,146432,3282944,4063746
3011846,987905,9089793,7305729,3482880,212992,929536,16443393
12742168,14836736,5797120,600064,9052416,2900736,6036224,1047040
9957122,11313665,4917248,2617088,6107648,1923328,4142080,9262593
14903298,3130625,38912,7668225,3941376,16660480,12467968,9562113
12965642,7568641,8923904,5778945,2058752,3947520,10561280,10287617
7719682,1504512,2433024,7410176,5112832,8261376,11735040,5065728
11273986,13651457,3809792,6777344,3936000,6948096,5638656,15220224
12896527,7033090,2938368,9427968,14040832,14897408,6503424,6811904
15888,959232,6050816,15829248,14427392,3416320,792064,3358977
4471299,11037440,16254208,14823168,987648,11015424,8521984,10780672
7133700,12584705,15665152,12803840,15089152,12723456,2956032,3804930
4679429,11122944,2245632,5926144,11160576,3234048,8066816,4295425
11627779,2459649,1385472,1415168,7358976,2577920,4200960,14107393
7773441,273921,2251520,8119552,7814400,5200896,10295040,13092609
831747,12368640,13178880,16616192,15777536,12333056,11550976,8862465
5957376,13260544,5114368,6531329,12140288,3755008,12722176,860417
16214273,1707521,15017728,3040000,13651200,5387008,15666432,8018945
3628032,7087872,9843712,2374401,11212544,1784064,6757376,14444545
7107073,1003264,6953984,14444288,11077888,12519680,4393216,4494080
8494336,10306048,2304512,8567553,6494976,3809280,666112,2672641
16659200,7099392,8993536,8437249,16413696,8526592,2496768,1016833
3853059,13076993,8223744,10743808,73216,14163200,16392704,7521537
11511296,10495232,2369536,8686081,13178368,12282112,10494976,1073153
4935680,9577984,6436864,5575169,9247232,14367488,3022592,12011009
16079872,4542720,3547136,13221632,10975488,13449216,7296512,12000001
13641984,13184256,10102528,8015361,9839104,6898176,14421248,71681
1640705,75264,6031104,13526272,7013888,595200,11601920,2707712
7705089,2188032,12655872,6183425,3085824,9192960,16135936,14407169
1517824,7695872,7541760,16756736,2895104,4201472,597760,16320513
15867904,5380608,14228736,14897152,4721408,8281600,6972672,16038913
11539200,8536064,8613632,4115456,10363648,4266752,14292224,3585281
4878080,9700609,6635520,2976256,12859648,13050112,9978624,9546241
9595394,13819904,1913088,14187520,14551808,10357248,10689024,6104576
546561,10368768,9780992,7579136,15616,7231488,6236160,468993
10921985,4963328,7903232,10615552,11159040,9590528,4346624,10904065
6894337,16071936,1126144,8672000,9111808,5838592,11995648,11099648
13370642,3505153,7943424,4262145,5252864,3497728,5182464,12157185
15381507,2850048,2888704,9037825,5718016,927232,9377792,8689665
8455426,7017728,9437440,7604992,13042688,16384512,8716800,11604736
2433536,9392384,3030016,11293698,2364672,5804800,3869184,3446273
3514375,11022081,932096,14454528,15940096,11419648,1123072,8365313
382465,16196864,14573312,1732352,12532736,2240512,5769984,1336065
14130436,11840256,9599744,7738883,15147520,2438400,16065792,7469569
5189376,15229184,13318144,6928128,13243392,7026176,9442560,13896706
5842179,12091392,8532992,8993024,8196096,5971200,13305600,5534464
15734528,1330176,5339648,15775744,8331264,14173184,7083776,11985409
8931072,15562752,14567680,12334593,4466432,13511680,16330496,4781568
2559745,11733505,3185409,11271681,14370816,8659200,11079680,9052417
16526336,8002304,9648128,3823105,1123840,13901568,2235136,14651137
6689539,12998657,2767360,8945664,407552,1990656,8477440,13528321
8873217,13257728,2178816,2712832,8344576,5518080,3365632,749570
885248,8409088,1644544,13985792,2376448,10301952,4925440,4094721
7478272,3226368,13380864,6520576,14299136,10030848,2955520,2098178
11938304,14297088,5901312,4581632,16462336,9841152,13574144,7578113
13695232,1925376,13677312,13165312,10294528,12469248,8868608,2927361
12197632,11877888,1721600,842240,9440512,13638400,7670272,7105281
6565888,8340992,1854720,3429376,5849856,11871488,16589312,11345153
12330752,15639296,8503552,5736705,12083968,15551744,9129728,10715649
6224389,3805698,6921728,16507904,11745792,12996864,2657024,13723393
13882374,16274945,9528576,12016128,4751104,10245376,798208,9163777
10212881,504065,3680768,6807296,12208640,4482560,10361600,1802241
7758597,2014976,278528,13051393,9322240,469760,10757376,5794562
1654016,15283712,2165760,5801472,6168320,8594688,5843200,14927617
14338561,7356674,8932352,12622080,3090688,8133632,7931136,14054400
482312,6772481,6039296,1521664,13511936,14486016,12982784,3617536
173574,9237760,6758400,1383936,4136960,13307136,13573632,4347904
12610564,5136896,9709568,12289025,8076544,8132608,11539968,14452225
