4600832,5248512,10434816,4672768,16268288,10628352,9510656,10269952
2635528,6213888,8066560,8458240,1640704,9044736,5310464,4656128
6184964,9129984,2365952,2689793,5517312,8657664,10688000,1876992
3130625,12959744,8067072,14363904,3675136,15869952,8139776,8385024
8145921,2930432,4731648,15552512,12920832,5580288,11995392,6869504
10961408,15671552,3494144,3420928,2832640,1576960,4984576,5032704
1641984,9517568,526592,16000768,2167552,660480,15405312,2212864
12099840,2987520,918784,15030784,13576960,16263424,15798528,781824
11287552,7552000,2035712,10821120,10758912,16528128,3871744,15184640
15946496,2770944,8202240,16280064,15472896,4460544,16649472,13618432
1314560,12985344,8587008,1654272,346112,2759168,9771776,16749568
16683520,5634048,1600256,11083008,12546048,11347968,1510912,10652672
9636608,11538688,12981504,14420480,4856064,7869184,7874304,5286144
351232,14001920,13505024,11020032,6310656,15746560,594944,3043328
9092354,549120,9508864,11670784,10690048,11734528,14813184,3354880
14194437,6934272,12528640,4217344,12987392,4137984,10949376,12869376
4272384,3549184,4981248,15475968,12601344,15933440,139776,1812992
6268416,4790784,7415296,1299456,8134912,6664960,13511936,6933760
9775877,161794,13203968,9083648,5391872,12422144,706304,13022720
8390657,12337408,7538176,14884096,9833984,1837312,2100480,12458752
9051648,10319616,12737024,14290176,8269312,13575936,7671040,15386368
3491584,13582336,8923392,1788928,15144704,8790784,5049344,16631296
5546240,14908672,14033152,1252608,1516544,14427904,6754304,10703104
12459776,10560256,12070656,6102016,5768960,203008,15274752,15782400
11605760,16262144,788992,330496,9380864,1716736,4726016,2277632
6365696,7605760,7377920,5228032,5904128,13442816,11340032,1420544
5384960,12458240,16088576,3553024,8261888,7868416,6884864,2849024
7807488,140032,8195584,11214848,3807232,16588288,15207936,14855936
15971073,837376,3211520,14816000,7544832,1060096,15799552,4760320
13662976,3374080,11213568,13051392,7420672,16717824,8590336,2465536
16451587,13531648,12328704,10367744,12851200,15289344,5316352,14059008
6821376,13966080,3869184,9866240,9117440,733440,13830656,2085632
817664,1658368,11347968,13776640,11800576,15678464,2696960,6720768
3091713,8082432,9705216,13145344,14297088,7220736,10686720,1749248
12717312,6496768,16585728,11082497,12259328,10295040,10948096,13080064
9179661,3310848,8732416,3541761,7224832,3160832,12591360,1414656
3185152,14778368,657408,3465985,5115904,5518592,14815232,6742528
15805952,7125504,9325824,5392128,11997184,2108928,201472,2862592
4483587,13389826,1719552,8084480,12618240,4468224,5579776,2268416
1668864,11997952,15409664,16459264,9909760,8006656,1924864,15040000
3740928,8259072,11222016,5508608,12522496,1509632,15534080,4366848
16057600,3092480,4937472,11082752,10040064,3875840,8013312,2013952
2432256,6235136,14291712,11300864,6893056,5383680,3149312,4744704
9005568,7891200,6439424,5812480,8001536,6896128,16129792,8234240
14682880,2960640,14363648,13783040,13392896,464640,6431488,4478976
13967360,11936512,14530304,8058368,15997952,6630912,7542784,6348288
11155456,3032576,8254976,7658496,3354624,5453056,4205056,5096704
9574400,12603648,5516032,14039552,10555648,6697216,14945792,1560064
2969601,16400384,6846720,6339329,14946304,13183744,1189120,6133760
5601792,12331776,731392,6593280,15078144,4929792,9115904,9913856
11858432,15964672,14027521,16416257,15935744,8821248,204800,10051584
15878912,16391936,8980224,6701824,1248256,2888192,6950656,8766208
2803970,347648,1641472,11425536,11033088,8725760,9313536,12296192
5788673,16094720,7287296,7498752,14626048,4004096,9250048,15518464
1593344,6979328,721408,7417856,2759936,12606208,11931904,13538560
10117888,16294912,8546048,3435520,2698240,15737600,6040064,16208896
9669888,10723584,2316032,70657,14685440,3480832,6039040,4446464
16064512,12667136,14422272,4459776,11735808,6300160,3017472,2215680
1859584,10854400,7474432,14906112,5116928,6753024,14555392,9228032
11890432,933376,8286208,16454656,15405312,12657920,4854272,12565760
15215104,12787968,4142080,6966016,529152,10689792,16002560,11647232
9027845,7564800,11357184,5117952,9442560,16456960,726528,1807872
1158912,8108288,15873792,15156736,3054336,9852672,8659712,1992192
4617472,13217792,1520896,15163136,4855808,3616256,6298368,13922816
5390592,9547520,15946752,8021248,145152,9706752,12325632,1858048
